Chain position	Dispensing frequency / Hz	Time since dispensed / s	Droplet position / mm	Aerodynamic diameter / um	Image diameter / um	PF diameter / um	Raman diameter / um	Delay / s	Pulse amplitude / V	Pulse width / us	Droplet velocity / m/s	Temp 1 / C	Temp 2 / C	Area / pixels	Aspect Ratio	Volume / um^3	x Coordinate Centre of Mass Postion / mm	Step distance / mm	Relative Humidity / %
9E-5	20	9E-5	0.025	NaN	35.33	0	0	9E-5	3	20	-98.853333	22.509591	22.295542	14157	0.966942	23612.285802	0.408757	-1.186144	2.042318
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.57512	22.29284	14396	0.967213	23626.77971	0.408304	-1.186144	2.214317
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.57512	22.29284	14396	0.967213	23626.77971	0.408304	-1.186144	2.214317
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.57512	22.29284	14278	0.975207	23595.174337	0.408606	-1.186144	2.214317
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.57512	22.29284	14396	0.967213	23638.374837	0.40921	-1.186144	2.214317
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.50419	22.295542	14278	0.975207	23730.72483	0.408606	-1.186144	2.214317
9E-5	20	9E-5	0.025	NaN	35.94	0	0	9E-5	3	20	-98.853333	22.50419	22.295542	14399	0.983471	23767.478785	0.408757	-1.186144	2.214317
9E-5	20	9E-5	0.025	NaN	35.33	0	0	9E-5	3	20	-98.853333	22.50419	22.295542	14157	0.966942	23763.303674	0.408455	-1.186144	2.042318
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.50419	22.295542	14514	0.95935	23627.450324	0.40921	-1.186144	2.042318
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.50419	22.295542	14278	0.975207	23741.108525	0.408908	-1.186144	2.042318
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.50419	22.295542	14278	0.975207	23663.836524	0.408606	-1.186144	2.042318
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.50419	22.295542	14278	0.975207	23725.078695	0.40921	-1.186144	2.042318
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.50419	22.295542	14514	0.95935	23741.043627	0.409814	-1.186144	2.042318
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.572419	22.290139	14278	0.975207	23810.592755	0.408606	-1.186144	2.042318
9E-5	20	9E-5	0.025	NaN	35.64	0	0	9E-5	3	20	-98.853333	22.572419	22.290139	14396	0.967213	23763.10898	0.409814	-1.186144	1.698319
0.0001	20	0.0001	0.024	NaN	37.75	0	0	0.0001	3	20	-0.010667	22.569719	22.295542	15000	1.041667	26051.221201	0.439863	-1.186144	1.870319
0.0001	20	0.0001	0.024	NaN	37.45	0	0	0.0001	3	20	-0.010667	22.569719	22.295542	15004	1.024793	26094.313537	0.43941	-1.186144	1.870319
0.0001	20	0.0001	0.024	NaN	37.75	0	0	0.0001	3	20	-0.010667	22.569719	22.295542	15250	1.02459	26003.542732	0.439259	-1.186144	2.179918
0.0001	20	0.0001	0.024	NaN	37.75	0	0	0.0001	3	20	-0.010667	22.569719	22.295542	15125	1.033058	26092.647819	0.437145	-1.186144	2.179918
