Chain position	Dispensing frequency / Hz	Time since dispensed / s	Droplet position / mm	Aerodynamic diameter / um	Image diameter / um	PF diameter / um	Raman diameter / um	Delay / s	Pulse amplitude / V	Pulse width / us	Droplet velocity / m/s	Temp 1 / C	Temp 2 / C	Area / pixels	Aspect Ratio	Volume / um^3	x Coordinate Centre of Mass Postion / mm	Step distance / mm	Relative Humidity / %
9E-5	20	9E-5	-0.059	NaN	37.45	0	0	9E-5	3.2	17	-5254.265	24.172672	23.731293	15872	0.96875	27343.753341	0.295356	1.29116	40.191783
9E-5	20	9E-5	-0.059	NaN	37.15	0	0	9E-5	3.2	17	-5254.265	24.178066	23.731293	15744	0.960937	27209.911832	0.295809	1.29116	40.122983
9E-5	20	9E-5	-0.059	NaN	37.15	0	0	9E-5	3.2	17	-5254.265	24.178066	23.731293	15744	0.960937	27203.205695	0.295809	1.29116	40.122983
9E-5	20	9E-5	-0.059	NaN	37.45	0	0	9E-5	3.2	17	-5254.265	24.175369	23.736689	15748	0.976378	27446.422131	0.294148	1.29116	40.329382
9E-5	20	9E-5	-0.059	NaN	37.15	0	0	9E-5	3.2	17	-5254.265	24.175369	23.736689	15744	0.960937	27260.142959	0.296111	1.29116	40.329382
9E-5	20	9E-5	-0.06	NaN	37.45	0	0	9E-5	3.2	17	-5254.365	24.175369	23.736689	15872	0.96875	27293.781806	0.295356	1.29116	40.329382
9E-5	20	9E-5	-0.059	NaN	37.15	0	0	9E-5	3.2	17	-5254.265	24.175369	23.736689	15990	0.946154	27178.306458	0.296111	1.29116	40.329382
9E-5	20	9E-5	-0.06	NaN	37.45	0	0	9E-5	3.2	17	-5254.365	24.175369	23.736689	15748	0.976378	27274.269112	0.295658	1.29116	40.329382
9E-5	20	9E-5	-0.06	NaN	37.15	0	0	9E-5	3.2	17	-5254.365	24.175369	23.736689	15744	0.960937	27339.967619	0.295809	1.29116	40.329382
9E-5	20	9E-5	-0.059	NaN	37.45	0	0	9E-5	3.2	17	-5254.265	24.175369	23.736689	15872	0.96875	27300.898964	0.294752	1.29116	40.329382
9E-5	20	9E-5	-0.059	NaN	36.84	0	0	9E-5	3.2	17	-5254.265	24.178066	23.736689	15616	0.953125	27268.255221	0.294752	1.29116	40.329382
9E-5	20	9E-5	-0.059	NaN	37.15	0	0	9E-5	3.2	17	-5254.265	24.178066	23.736689	15744	0.960937	27296.269567	0.295507	1.29116	40.432582
9E-5	20	9E-5	-0.059	NaN	37.15	0	0	9E-5	3.2	17	-5254.265	24.178066	23.736689	15867	0.953488	27390.479971	0.295205	1.29116	40.432582
9E-5	20	9E-5	-0.059	NaN	37.15	0	0	9E-5	3.2	17	-5254.265	24.178066	23.736689	15744	0.960937	27361.383991	0.294903	1.29116	40.432582
